carpeta	url	screenshots
102_207_tenemaza_vera_regina_maritzol	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/207-tenemaza-vera-regina-maritzol	0
103_perez_hernandez_maria_gabriela	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/209-perez-hernandez-maria-gabriela	1
104_flores_naranjo_pamela_catherine	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/217-flores-naranjo-pamela-catherine	1
105_barriga_andrade_jhonattan_javier	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/224-barriga-andrade-jhonattan-javier	1
106_yoo_park_sang_guun	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/225-yoo-park-sang-guun	1
107_navarrete_rueda_rosa_del_carmen	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/234-navarrete-rueda-rosa-del-carmen	1
108_carrera_izurieta_ivan_marcelo	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/245-carrera-izurieta-ivan-marcelo	1
109_mafla_gallegos_luis_enrique	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/255-mafla-gallegos-luis-enrique	1
110_eguez_sarzosa_vicente_adrian	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/265-egueez-sarzosa-vicente-adrian	1
111_recalde_cerda_lorena_katherine	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/355-recalde-cerda-lorena-katherine	1
112_martinez_mosquera_silvia_diana	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/380-martinez-mosquera-silvia-diana	1
113_385_villarroel_ramos_jorge_patricio	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/385-villarroel-ramos-jorge-patricio	0
114_doctorado_en_informatica	https://fis.epn.edu.ec/index.php/es/maestrias/doctorado-en-informatica	1
115_maestria_en_ciberseguridad	https://fis.epn.edu.ec/index.php/es/maestrias/maestria-en-ciberseguridad	1
116_maestria_en_inteligencia_artificial	https://fis.epn.edu.ec/index.php/es/maestrias/maestria-en-inteligencia-artificial-art	1
117_maestria_en_tecnologia_e_innovacion_educativa	https://fis.epn.edu.ec/index.php/es/maestrias/maestria-en-tecnologia-e-innovacion-educativa	1
118_ciencia_de_datos_e_inteligencia_artificial	https://fis.epn.edu.ec/index.php/es/oferta-academicafis/ciencia-de-datos-e-inteligencia-artificial	1
119_computacion	https://fis.epn.edu.ec/index.php/es/oferta-academicafis/computacion	1
120_sistemas_de_informacion	https://fis.epn.edu.ec/index.php/es/oferta-academicafis/sistemas-de-informacion	1
121_software	https://fis.epn.edu.ec/index.php/es/oferta-academicafis/software	1
122_la_facultad_de_ingenieria_de_sistemas	https://fis.epn.edu.ec/index.php/es/you-will-love-our-school	1
